
---------- Begin Simulation Statistics ----------
simSeconds                                   2.827240                       # Number of seconds simulated (Second)
simTicks                                 2827239743906                       # Number of ticks simulated (Tick)
finalTick                                2827239743906                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    521.32                       # Real time elapsed on the host (Second)
hostTickRate                               5423210588                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8624396                       # Number of bytes of host memory used (Byte)
simInsts                                     98771609                       # Number of instructions simulated (Count)
simOps                                      176034253                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189464                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     337669                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        212048283                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.146855                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.465798                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       180790679                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2783                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      189332962                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3507                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4759201                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7142657                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 295                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           210535406                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.899293                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.435933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 123496865     58.66%     58.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  42167563     20.03%     78.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  16780940      7.97%     86.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10887826      5.17%     91.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9333689      4.43%     96.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5195286      2.47%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1567348      0.74%     99.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    622345      0.30%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    483544      0.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             210535406                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   24701     11.96%     11.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.96% # attempts to use FU when none available (Count)
